,Heat
322,7.398227042
323,7.490116818
324,7.437700861
325,7.305619527
326,7.100529163
327,6.898746356
328,6.774767547
329,6.756129496
330,6.652819218
331,6.156504749
332,5.518241569
333,4.627728
334,3.794514222
335,3.43832307
336,4.154074073
337,3.983055524
338,4.041405208
339,4.191172815
340,4.42163581
341,4.67087122
342,5.002363928
343,5.368958634
344,5.341708466
345,5.84876407
346,6.485976332
347,7.001789805
348,7.969130436
349,9.825713436
350,11.15447552
351,11.49187929
352,10.99471082
353,9.836919854
354,8.354770614
355,7.231300295
356,6.299984643
357,5.904667157
358,5.65509739
359,5.37177958
360,5.250512458
361,5.163205947
362,5.079723845
363,4.995577529
364,4.921658773
365,4.910222537
366,5.023812179
367,5.293636532
368,5.77795848
369,6.396742325
370,6.863956731
371,7.206861199
372,7.623893421
373,7.986907292
374,8.112368808
375,8.082017437
376,8.001006595
377,7.908346614
378,7.772510378
379,7.500194216
380,6.883365394
381,5.477365888
382,4.908751949
383,4.325092621
384,4.143797612
385,3.973202134
386,4.031407471
387,4.180804579
388,4.410697449
389,4.659316293
390,4.989988945
391,5.35567676
392,5.328494004
393,5.834295239
394,6.469931149
395,6.984468588
396,7.949416187
397,9.801406321
398,11.12688128
399,11.46345037
400,10.96751181
401,9.812585017
402,8.334102357
403,7.21341131
404,6.284399571
405,5.890060032
406,5.641107657
407,5.358490727
408,5.237523599
409,5.150433069
410,5.067157487
411,4.983219335
412,4.90948344
413,4.898075496
414,5.011384137
415,5.280540991
416,5.76366481
417,6.380917891
418,6.84697649
419,7.189032672
420,7.605033227
421,7.967149066
422,8.092300212
423,8.062023925
424,7.981213489
425,7.888782733
426,7.753282532
427,7.481640033
428,6.866337139
429,5.463815833
430,4.896608546
431,4.314393091
432,3.867780432
433,3.70854827
434,3.762876565
435,3.902322375
436,4.116902146
437,4.34896056
438,4.6576072
439,4.998936654
440,4.973564533
441,5.445674492
442,6.038970875
443,6.519235122
444,7.419907835
445,9.148537433
446,10.38572288
447,10.6998732
448,10.23696897
449,9.158971519
450,7.778970169
451,6.732928033
452,5.865797503
453,5.497724808
454,5.26535508
455,5.001563183
456,4.888653641
457,4.807364187
458,4.729635568
459,4.651288512
460,4.582464144
461,4.57181608
462,4.677577265
463,4.928805657
464,5.379748736
465,5.955886765
466,6.390901333
467,6.71017325
468,7.098464127
469,7.436459532
470,7.553274396
471,7.525014803
472,7.449587128
473,7.363313158
474,7.236838587
475,6.983290118
476,6.408972374
477,5.099872614
478,4.570446844
479,4.027012594
480,3.661656763
481,3.510910481
482,3.562343486
483,3.69435788
484,3.89750216
485,4.117193602
486,4.409391693
487,4.732530848
488,4.708510872
489,5.155460913
490,5.717139051
491,6.171808818
492,7.024482436
493,8.66098905
494,9.832241802
495,10.12965026
496,9.691415353
497,8.670867077
498,7.364409442
499,6.374113502
500,5.55319452
501,5.204737338
502,4.984751172
503,4.735017404
504,4.628125093
505,4.551167756
506,4.477581489
507,4.403409743
508,4.338253198
509,4.328172595
510,4.428297503
511,4.666137308
512,5.093048505
513,5.638482701
514,6.050314257
515,6.352571377
516,6.720169265
517,7.040152052
518,7.15074156
519,7.123987992
520,7.052580045
521,6.970903831
522,6.851169405
523,6.611133166
524,6.067422248
525,4.828087679
526,4.326876329
527,3.812403046
528,3.891402484
529,3.731197828
530,3.785857928
531,3.926155388
532,4.142045682
533,4.375521367
534,4.686053034
535,5.02946712
536,5.003940042
537,5.478933362
538,6.075853238
539,6.559050647
540,7.465224122
541,9.204411138
542,10.44915257
543,10.76522152
544,10.29949015
545,9.214908949
546,7.82647939
547,6.774048665
548,5.901622228
549,5.53130157
550,5.297512668
551,5.032109691
552,4.918510566
553,4.836724645
554,4.758521307
555,4.679695755
556,4.61045105
557,4.599737953
558,4.706145064
559,4.958907806
560,5.412604971
561,5.992261701
562,6.429933073
563,6.751154909
564,7.141817231
565,7.481876907
566,7.599405204
567,7.57097302
568,7.495084678
569,7.408283799
570,7.281036798
571,7.025939809
572,6.448114482
573,5.131019536
574,4.598360355
575,4.051607139
576,3.584800195
577,3.676109016
578,3.745717686
579,3.807036044
580,3.882273092
581,3.97382836
582,4.098985795
583,4.225794349
584,4.451281928
585,4.773660491
586,5.174494109
587,5.723855813
588,6.450345
589,7.679060887
590,8.525929933
591,8.519518651
592,8.238123186
593,7.788386785
594,7.353068753
595,6.957173342
596,6.48746271
597,6.238095282
598,6.136361822
599,6.114141989
600,6.128213526
601,6.180634502
602,6.109567542
603,6.208998524
604,6.364994395
605,6.549680934
606,6.716045413
607,6.933216593
608,7.125920164
609,7.327308321
610,7.516932478
611,7.610296637
612,7.557039659
613,7.422839065
614,7.214458001
615,7.009437564
616,6.883469501
617,6.8645324
618,6.759564496
619,6.255286602
620,5.606782414
621,4.701980448
622,3.855397656
623,3.493491374
624,3.485027471
625,3.57379497
626,3.641466281
627,3.701078017
628,3.774221056
629,3.863228142
630,3.984902177
631,4.108181375
632,4.327393148
633,4.64079922
634,5.030476774
635,5.564548556
636,6.270817982
637,7.465336054
638,8.288634907
639,8.282402066
640,8.008838444
641,7.571619176
642,7.148416985
643,6.763540197
644,6.306902625
645,6.064475631
646,5.965573632
647,5.943972225
648,5.957652122
649,6.008614109
650,5.939525095
651,6.036188699
652,6.187842868
653,6.367389182
654,6.529123379
655,6.740250216
656,6.927590431
657,7.123373521
