,Datetime,pimp,pexp
458,2019-01-10 13:00:00,56,105
459,2019-01-10 13:30:00,56,105
460,2019-01-10 14:00:00,56,105
461,2019-01-10 14:30:00,56,105
462,2019-01-10 15:00:00,56,105
463,2019-01-10 15:30:00,56,105
464,2019-01-10 16:00:00,63,142
465,2019-01-10 16:30:00,63,142
466,2019-01-10 17:00:00,63,142
467,2019-01-10 17:30:00,63,142
468,2019-01-10 18:00:00,63,142
469,2019-01-10 18:30:00,63,142
470,2019-01-10 19:00:00,63,142
471,2019-01-10 19:30:00,63,142
472,2019-01-10 20:00:00,63,142
473,2019-01-10 20:30:00,63,142
474,2019-01-10 21:00:00,63,142
475,2019-01-10 21:30:00,63,142
476,2019-01-10 22:00:00,105,231
477,2019-01-10 22:30:00,105,231
478,2019-01-10 23:00:00,105,231
479,2019-01-10 23:30:00,105,231
480,2019-01-11 00:00:00,105,231
481,2019-01-11 00:30:00,105,231
482,2019-01-11 01:00:00,105,231
483,2019-01-11 01:30:00,105,231
484,2019-01-11 02:00:00,105,231
485,2019-01-11 02:30:00,105,231
486,2019-01-11 03:00:00,105,231
487,2019-01-11 03:30:00,105,231
488,2019-01-11 04:00:00,105,231
489,2019-01-11 04:30:00,105,231
490,2019-01-11 05:00:00,105,231
491,2019-01-11 05:30:00,105,231
492,2019-01-11 06:00:00,105,231
493,2019-01-11 06:30:00,105,231
494,2019-01-11 07:00:00,56,105
495,2019-01-11 07:30:00,56,105
496,2019-01-11 08:00:00,56,105
497,2019-01-11 08:30:00,56,105
498,2019-01-11 09:00:00,56,105
499,2019-01-11 09:30:00,56,105
500,2019-01-11 10:00:00,56,105
501,2019-01-11 10:30:00,56,105
502,2019-01-11 11:00:00,56,105
503,2019-01-11 11:30:00,56,105
504,2019-01-11 12:00:00,56,105
505,2019-01-11 12:30:00,56,105
506,2019-01-11 13:00:00,56,105
507,2019-01-11 13:30:00,56,105
508,2019-01-11 14:00:00,56,105
509,2019-01-11 14:30:00,56,105
510,2019-01-11 15:00:00,56,105
511,2019-01-11 15:30:00,56,105
512,2019-01-11 16:00:00,63,142
513,2019-01-11 16:30:00,63,142
514,2019-01-11 17:00:00,63,142
515,2019-01-11 17:30:00,63,142
516,2019-01-11 18:00:00,63,142
517,2019-01-11 18:30:00,63,142
518,2019-01-11 19:00:00,63,142
519,2019-01-11 19:30:00,63,142
520,2019-01-11 20:00:00,63,142
521,2019-01-11 20:30:00,63,142
522,2019-01-11 21:00:00,63,142
523,2019-01-11 21:30:00,63,142
524,2019-01-11 22:00:00,105,231
525,2019-01-11 22:30:00,105,231
526,2019-01-11 23:00:00,105,231
527,2019-01-11 23:30:00,105,231
528,2019-01-12 00:00:00,105,231
529,2019-01-12 00:30:00,105,231
530,2019-01-12 01:00:00,105,231
531,2019-01-12 01:30:00,105,231
532,2019-01-12 02:00:00,105,231
533,2019-01-12 02:30:00,105,231
534,2019-01-12 03:00:00,105,231
535,2019-01-12 03:30:00,105,231
536,2019-01-12 04:00:00,105,231
537,2019-01-12 04:30:00,105,231
538,2019-01-12 05:00:00,105,231
539,2019-01-12 05:30:00,105,231
540,2019-01-12 06:00:00,105,231
541,2019-01-12 06:30:00,105,231
542,2019-01-12 07:00:00,56,105
543,2019-01-12 07:30:00,56,105
544,2019-01-12 08:00:00,56,105
545,2019-01-12 08:30:00,56,105
546,2019-01-12 09:00:00,56,105
547,2019-01-12 09:30:00,56,105
548,2019-01-12 10:00:00,56,105
549,2019-01-12 10:30:00,56,105
550,2019-01-12 11:00:00,56,105
551,2019-01-12 11:30:00,56,105
552,2019-01-12 12:00:00,56,105
553,2019-01-12 12:30:00,56,105
554,2019-01-12 13:00:00,56,105
555,2019-01-12 13:30:00,56,105
556,2019-01-12 14:00:00,56,105
557,2019-01-12 14:30:00,56,105
558,2019-01-12 15:00:00,56,105
559,2019-01-12 15:30:00,56,105
560,2019-01-12 16:00:00,63,142
561,2019-01-12 16:30:00,63,142
562,2019-01-12 17:00:00,63,142
563,2019-01-12 17:30:00,63,142
564,2019-01-12 18:00:00,63,142
565,2019-01-12 18:30:00,63,142
566,2019-01-12 19:00:00,63,142
567,2019-01-12 19:30:00,63,142
568,2019-01-12 20:00:00,63,142
569,2019-01-12 20:30:00,63,142
570,2019-01-12 21:00:00,63,142
571,2019-01-12 21:30:00,63,142
572,2019-01-12 22:00:00,105,231
573,2019-01-12 22:30:00,105,231
574,2019-01-12 23:00:00,105,231
575,2019-01-12 23:30:00,105,231
576,2019-01-13 00:00:00,105,231
577,2019-01-13 00:30:00,105,231
578,2019-01-13 01:00:00,105,231
579,2019-01-13 01:30:00,105,231
580,2019-01-13 02:00:00,105,231
581,2019-01-13 02:30:00,105,231
582,2019-01-13 03:00:00,105,231
583,2019-01-13 03:30:00,105,231
584,2019-01-13 04:00:00,105,231
585,2019-01-13 04:30:00,105,231
586,2019-01-13 05:00:00,105,231
587,2019-01-13 05:30:00,105,231
588,2019-01-13 06:00:00,105,231
589,2019-01-13 06:30:00,105,231
590,2019-01-13 07:00:00,56,105
591,2019-01-13 07:30:00,56,105
592,2019-01-13 08:00:00,56,105
593,2019-01-13 08:30:00,56,105
594,2019-01-13 09:00:00,56,105
595,2019-01-13 09:30:00,56,105
596,2019-01-13 10:00:00,56,105
597,2019-01-13 10:30:00,56,105
598,2019-01-13 11:00:00,56,105
599,2019-01-13 11:30:00,56,105
600,2019-01-13 12:00:00,56,105
601,2019-01-13 12:30:00,56,105
602,2019-01-13 13:00:00,56,105
603,2019-01-13 13:30:00,56,105
604,2019-01-13 14:00:00,56,105
605,2019-01-13 14:30:00,56,105
606,2019-01-13 15:00:00,56,105
607,2019-01-13 15:30:00,56,105
608,2019-01-13 16:00:00,63,142
609,2019-01-13 16:30:00,63,142
610,2019-01-13 17:00:00,63,142
611,2019-01-13 17:30:00,63,142
612,2019-01-13 18:00:00,63,142
613,2019-01-13 18:30:00,63,142
614,2019-01-13 19:00:00,63,142
615,2019-01-13 19:30:00,63,142
616,2019-01-13 20:00:00,63,142
617,2019-01-13 20:30:00,63,142
618,2019-01-13 21:00:00,63,142
619,2019-01-13 21:30:00,63,142
620,2019-01-13 22:00:00,105,231
621,2019-01-13 22:30:00,105,231
622,2019-01-13 23:00:00,105,231
623,2019-01-13 23:30:00,105,231
624,2019-01-14 00:00:00,105,231
625,2019-01-14 00:30:00,105,231
626,2019-01-14 01:00:00,105,231
627,2019-01-14 01:30:00,105,231
628,2019-01-14 02:00:00,105,231
629,2019-01-14 02:30:00,105,231
630,2019-01-14 03:00:00,105,231
631,2019-01-14 03:30:00,105,231
632,2019-01-14 04:00:00,105,231
633,2019-01-14 04:30:00,105,231
634,2019-01-14 05:00:00,105,231
635,2019-01-14 05:30:00,105,231
636,2019-01-14 06:00:00,105,231
637,2019-01-14 06:30:00,105,231
638,2019-01-14 07:00:00,56,105
639,2019-01-14 07:30:00,56,105
640,2019-01-14 08:00:00,56,105
641,2019-01-14 08:30:00,56,105
642,2019-01-14 09:00:00,56,105
643,2019-01-14 09:30:00,56,105
644,2019-01-14 10:00:00,56,105
645,2019-01-14 10:30:00,56,105
646,2019-01-14 11:00:00,56,105
647,2019-01-14 11:30:00,56,105
648,2019-01-14 12:00:00,56,105
649,2019-01-14 12:30:00,56,105
650,2019-01-14 13:00:00,56,105
651,2019-01-14 13:30:00,56,105
652,2019-01-14 14:00:00,56,105
653,2019-01-14 14:30:00,56,105
654,2019-01-14 15:00:00,56,105
655,2019-01-14 15:30:00,56,105
656,2019-01-14 16:00:00,63,142
657,2019-01-14 16:30:00,63,142
658,2019-01-14 17:00:00,63,142
659,2019-01-14 17:30:00,63,142
660,2019-01-14 18:00:00,63,142
661,2019-01-14 18:30:00,63,142
662,2019-01-14 19:00:00,63,142
663,2019-01-14 19:30:00,63,142
664,2019-01-14 20:00:00,63,142
665,2019-01-14 20:30:00,63,142
666,2019-01-14 21:00:00,63,142
667,2019-01-14 21:30:00,63,142
668,2019-01-14 22:00:00,105,231
669,2019-01-14 22:30:00,105,231
670,2019-01-14 23:00:00,105,231
671,2019-01-14 23:30:00,105,231
672,2019-01-15 00:00:00,105,231
673,2019-01-15 00:30:00,105,231
674,2019-01-15 01:00:00,105,231
675,2019-01-15 01:30:00,105,231
676,2019-01-15 02:00:00,105,231
677,2019-01-15 02:30:00,105,231
678,2019-01-15 03:00:00,105,231
679,2019-01-15 03:30:00,105,231
680,2019-01-15 04:00:00,105,231
681,2019-01-15 04:30:00,105,231
682,2019-01-15 05:00:00,105,231
683,2019-01-15 05:30:00,105,231
684,2019-01-15 06:00:00,105,231
685,2019-01-15 06:30:00,105,231
686,2019-01-15 07:00:00,56,105
687,2019-01-15 07:30:00,56,105
688,2019-01-15 08:00:00,56,105
689,2019-01-15 08:30:00,56,105
690,2019-01-15 09:00:00,56,105
691,2019-01-15 09:30:00,56,105
692,2019-01-15 10:00:00,56,105
693,2019-01-15 10:30:00,56,105
694,2019-01-15 11:00:00,56,105
695,2019-01-15 11:30:00,56,105
696,2019-01-15 12:00:00,56,105
697,2019-01-15 12:30:00,56,105
698,2019-01-15 13:00:00,56,105
699,2019-01-15 13:30:00,56,105
700,2019-01-15 14:00:00,56,105
701,2019-01-15 14:30:00,56,105
702,2019-01-15 15:00:00,56,105
703,2019-01-15 15:30:00,56,105
704,2019-01-15 16:00:00,63,142
705,2019-01-15 16:30:00,63,142
706,2019-01-15 17:00:00,63,142
707,2019-01-15 17:30:00,63,142
708,2019-01-15 18:00:00,63,142
709,2019-01-15 18:30:00,63,142
710,2019-01-15 19:00:00,63,142
711,2019-01-15 19:30:00,63,142
712,2019-01-15 20:00:00,63,142
713,2019-01-15 20:30:00,63,142
714,2019-01-15 21:00:00,63,142
715,2019-01-15 21:30:00,63,142
716,2019-01-15 22:00:00,105,231
717,2019-01-15 22:30:00,105,231
718,2019-01-15 23:00:00,105,231
719,2019-01-15 23:30:00,105,231
720,2019-01-16 00:00:00,105,231
721,2019-01-16 00:30:00,105,231
722,2019-01-16 01:00:00,105,231
723,2019-01-16 01:30:00,105,231
724,2019-01-16 02:00:00,105,231
725,2019-01-16 02:30:00,105,231
726,2019-01-16 03:00:00,105,231
727,2019-01-16 03:30:00,105,231
728,2019-01-16 04:00:00,105,231
729,2019-01-16 04:30:00,105,231
730,2019-01-16 05:00:00,105,231
731,2019-01-16 05:30:00,105,231
732,2019-01-16 06:00:00,105,231
733,2019-01-16 06:30:00,105,231
