,Power
991,1.78298447
992,2.01746179
993,2.084366158
994,2.103151034
995,2.056238715
996,2.033359996
997,2.011495148
998,1.951762623
999,1.961887551
1000,2.030077167
1001,1.976047022
1002,1.920252186
1003,1.751748847
1004,1.51657691
1005,1.290909659
1006,1.106277941
1007,0.939847052
1008,0.939847052
1009,1.000810505
1010,1.02253815
1011,0.982890815
1012,0.968457981
1013,0.981361015
1014,0.971159824
1015,0.923291083
1016,0.944751868
1017,1.014023353
1018,1.187792617
1019,1.390142574
1020,1.570143587
1021,1.674916262
1022,1.684236898
1023,1.577850985
1024,1.586102229
1025,1.532829822
1026,1.55344151
1027,1.521789813
1028,1.559374573
1029,1.552848227
1030,1.605150372
1031,1.582487972
1032,1.514963933
1033,1.458185842
1034,1.442244297
1035,1.415211468
1036,1.468314409
1037,1.51151743
1038,1.667239575
1039,1.78298447
1040,2.01746179
1041,2.084366158
1042,2.103151034
1043,2.056238715
1044,2.033359996
1045,2.011495148
1046,1.951762623
1047,1.961887551
1048,2.030077167
1049,1.976047022
1050,1.920252186
1051,1.751748847
1052,1.51657691
1053,1.290909659
1054,1.106277941
1055,0.939847052
1056,0.939847052
1057,1.000810505
1058,1.02253815
1059,0.982890815
1060,0.968457981
1061,0.981361015
1062,0.971159824
1063,0.923291083
1064,0.944751868
1065,1.014023353
1066,1.187792617
1067,1.390142574
1068,1.570143587
1069,1.674916262
1070,1.684236898
1071,1.577850985
1072,1.586102229
1073,1.532829822
1074,1.55344151
1075,1.521789813
1076,1.559374573
1077,1.552848227
1078,1.605150372
1079,1.582487972
1080,1.514963933
1081,1.458185842
1082,1.442244297
1083,1.415211468
1084,1.468314409
1085,1.51151743
1086,1.667239575
1087,1.78298447
1088,2.01746179
1089,2.084366158
1090,2.103151034
1091,2.056238715
1092,2.033359996
1093,2.011495148
1094,1.951762623
1095,1.961887551
1096,2.030077167
1097,1.976047022
1098,1.920252186
1099,1.751748847
1100,1.51657691
1101,1.290909659
1102,1.106277941
1103,0.939847052
1104,0.939847052
1105,1.000810505
1106,1.02253815
1107,0.982890815
1108,0.968457981
1109,0.981361015
1110,0.971159824
1111,0.923291083
1112,0.944751868
1113,1.014023353
1114,1.187792617
1115,1.390142574
1116,1.570143587
1117,1.674916262
1118,1.684236898
1119,1.577850985
1120,1.586102229
1121,1.532829822
1122,1.55344151
1123,1.521789813
1124,1.559374573
1125,1.552848227
1126,1.605150372
1127,1.582487972
1128,1.514963933
1129,1.458185842
1130,1.442244297
1131,1.415211468
1132,1.468314409
1133,1.51151743
1134,1.667239575
1135,1.78298447
1136,2.01746179
1137,2.084366158
1138,2.103151034
1139,2.056238715
1140,2.033359996
1141,2.011495148
1142,1.951762623
1143,1.961887551
1144,2.030077167
1145,1.976047022
1146,1.920252186
1147,1.751748847
1148,1.51657691
1149,1.290909659
1150,1.106277941
1151,0.939847052
1152,0.939847052
1153,1.000810505
1154,1.02253815
1155,0.982890815
1156,0.968457981
1157,0.981361015
1158,0.971159824
1159,0.923291083
1160,0.944751868
1161,1.014023353
1162,1.187792617
1163,1.390142574
1164,1.570143587
1165,1.674916262
1166,1.684236898
1167,1.577850985
1168,1.586102229
1169,1.532829822
1170,1.55344151
1171,1.521789813
1172,1.559374573
1173,1.552848227
1174,1.605150372
1175,1.582487972
1176,1.514963933
1177,1.458185842
1178,1.442244297
1179,1.415211468
1180,1.468314409
1181,1.51151743
1182,1.667239575
1183,1.78298447
1184,2.01746179
1185,2.084366158
1186,2.103151034
1187,2.056238715
1188,2.033359996
1189,2.011495148
1190,1.951762623
1191,1.961887551
1192,2.030077167
1193,1.976047022
1194,1.920252186
1195,1.751748847
1196,1.51657691
1197,1.290909659
1198,1.106277941
1199,0.939847052
1200,0.939847052
1201,1.000810505
1202,1.02253815
1203,0.982890815
1204,0.968457981
1205,0.981361015
1206,0.971159824
1207,0.923291083
1208,0.944751868
1209,1.014023353
1210,1.187792617
1211,1.390142574
1212,1.570143587
1213,1.674916262
1214,1.684236898
1215,1.577850985
1216,1.586102229
1217,1.532829822
1218,1.55344151
1219,1.521789813
1220,1.559374573
1221,1.552848227
1222,1.605150372
1223,1.582487972
1224,1.514963933
1225,1.458185842
1226,1.442244297
1227,1.415211468
1228,1.468314409
1229,1.51151743
1230,1.667239575
1231,1.78298447
1232,2.01746179
1233,2.084366158
1234,2.103151034
1235,2.056238715
1236,2.033359996
1237,2.011495148
1238,1.951762623
1239,1.961887551
1240,2.030077167
1241,1.976047022
1242,1.920252186
1243,1.751748847
1244,1.51657691
1245,1.290909659
1246,1.106277941
1247,0.939847052
1248,0.939847052
1249,1.000810505
1250,1.02253815
1251,0.982890815
1252,0.968457981
1253,0.981361015
1254,0.971159824
1255,0.923291083
1256,0.944751868
1257,1.014023353
1258,1.187792617
1259,1.390142574
1260,1.570143587
1261,1.674916262
1262,1.684236898
1263,1.577850985
1264,1.586102229
1265,1.532829822
1266,1.55344151
1267,1.521789813
1268,1.559374573
1269,1.552848227
1270,1.605150372
1271,1.582487972
1272,1.514963933
1273,1.458185842
1274,1.442244297
1275,1.415211468
1276,1.468314409
1277,1.51151743
1278,1.667239575
1279,1.78298447
1280,2.01746179
1281,2.084366158
1282,2.103151034
1283,2.056238715
1284,2.033359996
1285,2.011495148
1286,1.951762623
1287,1.961887551
1288,2.030077167
1289,1.976047022
1290,1.920252186
1291,1.751748847
1292,1.51657691
1293,1.290909659
1294,1.106277941
1295,0.939847052
1296,0.939847052
1297,1.000810505
1298,1.02253815
1299,0.982890815
1300,0.968457981
1301,0.981361015
1302,0.971159824
1303,0.923291083
1304,0.944751868
1305,1.014023353
1306,1.187792617
1307,1.390142574
1308,1.570143587
