DayofYear,Unnamed: 0,ANON_ID,HH,GASKWH,Month,WeekofYear,Power
63,6147851.556275201,8113.60278756707,23.65999936501889,0.26522776704840056,3.0,9.45270978188399,0.5304555340968011
64,6179175.612030799,8144.774815527751,23.52595444337504,0.262867290561713,3.0,9.454347128649342,0.525734581123426
65,6169070.480587045,8175.747904556986,23.60779087318154,0.26764379074472555,3.0,9.455441729021484,0.5352875814894511
66,6127907.220134828,8114.145148407298,23.382663982874853,0.30493767933582344,3.0,9.450301926579124,0.6098753586716469
67,6165995.715839456,8124.310083737047,23.56716609451699,0.2763328921330072,3.0,10.0,0.5526657842660144
68,6165373.332020241,8140.145080707149,23.599827056110684,0.2838017509717057,3.0,10.450134511913912,0.5676035019434114
69,6151052.502965599,8116.909332820364,23.540380237889135,0.2872613199252138,3.0,10.447565002725145,0.5745226398504276
70,6165224.512551493,8095.046858908342,23.453913491246137,0.29179806954883397,3.0,10.4485710607621,0.5835961390976679
71,6164972.186929513,8068.746165060852,23.511568204868155,0.2716197887445557,3.0,10.448180780933063,0.5432395774891114
72,6160069.569296785,8158.341008069681,23.583674907134622,0.2576643655857141,3.0,10.450172921736902,0.5153287311714282
73,6183841.324221398,8104.565725350976,23.72844924963692,0.24302296993397773,3.0,10.452412457640794,0.48604593986795547
74,6150089.627401918,8143.713341673884,23.576364161293426,0.24791887687858785,3.0,11.0,0.4958377537571757
75,6163672.720405358,8139.427256161887,23.643457689971548,0.2206018118537077,3.0,11.449761836258432,0.4412036237074154
76,6181558.361486595,8100.921250443591,23.390489402200213,0.21034756005900584,3.0,11.450462948027228,0.4206951201180117
77,6125083.47759167,8122.795802884304,23.51383948780961,0.23559635698668638,3.0,11.450688740865292,0.47119271397337276
78,6194948.002631579,8148.500545571245,23.486681643132222,0.22841377652746658,3.0,11.45497432605905,0.45682755305493317
79,6118711.0527183935,8136.881949610272,23.518548465344935,0.23038385678984347,3.0,11.457453345839127,0.46076771357968693
80,6160440.99088729,8125.586123101519,23.483389288569146,0.25486692994540755,3.0,11.454548361310952,0.5097338598908151
81,6183780.559832475,8152.965663863934,23.50487547555868,0.24260073069213295,3.0,12.0,0.4852014613842659
82,6173580.577759975,8130.402339368691,23.504598622015703,0.23820559034797564,3.0,12.453901618330395,0.4764111806959513
83,6187697.835961433,8168.244977588598,23.469607558608235,0.21304115972575513,3.0,12.45499983876689,0.42608231945151026
84,6178623.344392297,8119.365884447321,23.73264282246318,0.1961638852255252,3.0,12.453018287748826,0.3923277704510504
85,6195073.260807892,8108.177633063606,23.520261775041103,0.20818046866265452,3.0,12.461555820626067,0.41636093732530904
86,6164373.402518185,8119.021528525296,23.537854323645497,0.20072620115915474,3.0,12.465701144926118,0.4014524023183095
87,6141438.656972384,8117.895666916631,23.5871344266571,0.2092596665919815,3.0,12.46473867823025,0.418519333183963
88,6151667.902731599,8142.201414694569,23.582697698676576,0.23335878923561623,3.0,13.0,0.46671757847123246
89,6200737.56162302,8150.9681862269645,23.583155512447462,0.2094804493330877,3.0,13.458325250565794,0.4189608986661754
90,6169334.537419838,8128.687847911716,23.516585826361535,0.24612247323542957,3.0,13.454409323220156,0.49224494647085915
91,6161661.046583482,8106.539275103981,23.67551990493167,0.21474508286874028,3.9959893048128343,13.510546642899584,0.42949016573748056
92,6117765.643293485,8077.374565223746,23.67708181100751,0.21478322722916804,4.0,13.516587262151814,0.4295664544583361
93,6152874.008035507,8084.759805059179,23.464115804130888,0.20587973217856972,4.0,13.52323624970991,0.41175946435713945
94,6158703.644941495,8063.332087514015,23.76094643935256,0.21825059319146714,4.0,13.52379035735848,0.4365011863829343
95,6158119.720638359,8129.010543751791,23.37578441053738,0.22959622791637657,4.0,14.0,0.45919245583275314
96,6149235.582461855,8105.507086119207,23.643979655980342,0.1855995856298197,4.0,14.51680096005486,0.3711991712596394
97,6153617.965449749,8071.447394547982,23.562391853175615,0.18338873468442213,4.0,14.514537769835192,0.36677746936884426
98,6135309.498000914,8138.327764450537,23.677604523646334,0.18978018073197275,4.0,14.519962302947224,0.3795603614639455
99,6183851.999675603,8114.905865699372,23.650299330561207,0.17510888404070601,4.0,14.546786988705064,0.35021776808141203
100,6172924.80272609,8126.049488151123,23.58619421978395,0.14876653505927345,4.0,14.523273570499406,0.2975330701185469
101,6189508.337229142,8093.230933287835,23.696695671955865,0.17326142151328605,4.0,14.51447420804186,0.3465228430265721
