,Demand
418,2.951709629
419,2.995681001
420,3.066245394
421,3.126694744
422,3.121498794
423,3.120593071
424,3.138758191
425,3.093522785
426,3.038915006
427,2.901116042
428,2.662239018
429,2.272934584
430,2.068808475
431,1.870824309
432,1.794304976
433,1.792928493
434,1.814661993
435,1.822737801
436,1.858453208
437,1.911333571
438,1.967985131
439,2.012341896
440,2.017995988
441,2.147088639
442,2.352676428
443,2.549939776
444,2.820141439
445,3.218381546
446,3.470570456
447,3.480230798
448,3.391741337
449,3.149425915
450,2.883629424
451,2.658517783
452,2.503819924
453,2.426914989
454,2.40657493
455,2.342465841
456,2.286113562
457,2.241460613
458,2.217938368
459,2.188746748
460,2.201528255
461,2.220999365
462,2.320020496
463,2.428157203
464,2.635617831
465,2.784340232
466,2.880767757
467,2.921189594
468,2.987437128
469,3.044128783
470,3.037634133
471,3.037042589
472,3.056046283
473,3.011770036
474,2.958568349
475,2.823588234
476,2.59109624
477,2.216345841
478,2.018105672
479,1.826163185
480,1.762334992
481,1.762279187
482,1.783562086
483,1.790481324
484,1.824416997
485,1.875372658
486,1.929464289
487,1.970990053
488,1.976854582
489,2.102031533
490,2.302698495
491,2.495978511
492,2.758709955
493,3.142612732
494,3.384540372
495,3.391595137
496,3.306945024
497,3.07357056
498,2.819219861
499,2.602784139
500,2.455278299
501,2.381426175
502,2.363013401
503,2.301092213
504,2.245676411
505,2.20169768
506,2.17882012
507,2.150278314
508,2.163630653
509,2.183190078
510,2.281334022
511,2.38738703
512,2.591107515
513,2.735051402
514,2.827870898
515,2.86564468
516,2.928671712
517,2.982560019
518,2.975096501
519,2.974739343
520,2.994368637
521,2.95080795
522,2.898655249
523,2.765778076
524,2.538049498
525,2.17415683
526,1.980307742
527,1.792872522
528,1.798469599
529,1.796930684
530,1.818719604
531,1.82693766
532,1.86287196
533,1.915989045
534,1.972955454
535,2.017660409
536,2.023288618
537,2.152862868
538,2.359055877
539,2.556809141
540,2.827929578
541,3.227933054
542,3.481384015
543,3.491364819
544,3.402403151
545,3.158988067
546,2.891783841
547,2.665605135
548,2.510022719
549,2.432742314
550,2.412165215
551,2.347787033
552,2.291319575
553,2.246583704
554,2.222982168
555,2.193710626
556,2.206421925
557,2.225882173
558,2.325011191
559,2.433404176
560,2.641324809
561,2.790634927
562,2.887506209
563,2.928253735
564,2.994897363
565,3.051933806
566,3.045558319
567,3.044937947
568,3.063864697
569,3.019500442
570,2.966169739
571,2.83093098
572,2.597853126
573,2.221767318
574,2.022987083
575,1.830490241
576,1.737361168
577,1.786094715
578,1.810872692
579,1.803306019
580,1.811128818
581,1.835881419
582,1.855798682
583,1.857212213
584,1.913015567
585,2.012091916
586,2.179099623
587,2.39008712
588,2.625306353
589,2.923302067
590,3.097243974
591,3.042769459
592,2.990646631
593,2.874112121
594,2.797401763
595,2.702439943
596,2.627341346
597,2.574231842
598,2.580047301
599,2.564274554
600,2.53332531
601,2.515414751
602,2.493238325
603,2.49959728
604,2.557330937
605,2.615849644
606,2.726965496
607,2.828248531
608,2.98400692
609,3.057714806
610,3.105011426
611,3.100217931
612,3.078132976
613,3.040375047
614,2.968855263
615,2.932935965
616,2.941850878
617,2.911050447
618,2.862170879
619,2.677118544
620,2.429902357
621,2.136206867
622,1.874666638
623,1.719109347
624,1.72199845
625,1.770337901
626,1.794815441
627,1.786984114
628,1.794482184
629,1.818839625
630,1.838216699
631,1.839082915
632,1.893913047
633,1.991597986
634,2.156875664
635,2.365492073
636,2.597575723
637,2.890268204
638,3.060554959
639,3.006108117
640,2.955199813
641,2.8406064
642,2.765774908
643,2.672521803
644,2.599450513
645,2.547417298
646,2.553671846
647,2.537995002
648,2.506985024
649,2.488848212
650,2.466978517
651,2.472908319
652,2.529968687
653,2.587690272
654,2.698088083
655,2.79843379
656,2.953360456
657,3.026199134
658,3.072677322
659,3.067480861
660,3.045625766
661,3.008447057
662,2.937826662
663,2.902792249
664,2.912250849
665,2.881532153
666,2.833105634
667,2.650229801
668,2.405812608
669,2.116022312
670,1.858136
671,1.704140725
672,1.730246246
673,1.73152954
674,1.752355552
675,1.75810209
676,1.790233206
677,1.839237319
678,1.890733317
679,1.929388594
680,1.935466496
681,2.056673132
682,2.252350635
683,2.441591761
684,2.696748795
685,3.066114273
686,3.297637524
687,3.302050371
688,3.221293155
689,2.996984353
690,2.754239085
691,2.54660029
692,2.406386779
693,2.335630045
694,2.319171436
695,2.259468666
696,2.205002402
697,2.161707294
698,2.139483409
699,2.11160048
700,2.125531613
701,2.145180586
702,2.242435107
703,2.346375353
704,2.546303532
705,2.685402257
706,2.774563399
707,2.809652192
708,2.869413805
709,2.920459663
710,2.912013765
711,2.911894262
712,2.932157883
713,2.889322736
714,2.838233651
715,2.707488751
716,2.484590028
717,2.131706528
718,1.942309764
719,1.759444677
720,1.804707228
721,1.802919831
722,1.82479353
723,1.833229191
724,1.869498343
725,1.922977556
726,1.98042561
727,2.025663209
728,2.031251826
729,2.161562804
730,2.368681653
731,2.567184371
732,2.839710309
733,3.242411317
734,3.497792907
735,3.508263945
736,3.418579914
737,3.173482612
738,2.90412489
739,2.676313833
740,2.519378258
741,2.441523475
742,2.420583762
743,2.355793932
744,2.299150279
745,2.254287555
746,2.230564723
747,2.20117092
748,2.213774819
749,2.233218451
750,2.33251251
751,2.441297536
752,2.649921867
753,2.80013105
754,2.897681173
755,2.938926924
756,3.006176481
757,3.063740367
758,3.057547169
759,3.056882698
760,3.075691743
761,3.031192858
762,2.977664791
763,2.842030368
764,2.608056291
765,2.22992763
766,2.030321224
767,1.836976351
768,1.763647972
769,1.763545721
770,1.784844467
771,1.79180438
772,1.825802644
773,1.876825994
774,1.931007655
775,1.972632981
776,1.978490109
777,2.103804771
778,2.304644792
779,2.498064896
780,2.761059058
781,3.145466061
782,3.387754577
783,3.394900976
784,3.310115839
785,3.076426933
786,2.821673699
787,2.604932857
788,2.457174082
789,2.383214595
790,2.364734041
791,2.302735907
792,2.24728717
793,2.203284729
794,2.180384495
795,2.151819836
796,2.1651521
797,2.184708419
798,2.282883213
799,2.389009501
800,2.592861523
801,2.736973464
802,2.829919849
803,2.86778676
804,2.930927053
805,2.98491395
806,2.977484506
807,2.977119105
808,2.996726398
809,2.953140546
810,2.900950953
811,2.767999822
812,2.540103721
813,2.175829201
814,1.981825683
815,1.794231949
816,1.754072805
817,1.754359536
818,1.775525565
819,1.782144832
820,1.815618908
821,1.866075371
822,1.919503051
823,1.960294557
824,1.966213666
825,2.090375029
826,2.28976571
827,2.482012596
828,2.74280654
829,3.122990742
830,3.362256987
831,3.368635961
832,3.284981633
833,3.053926125
834,2.802544042
835,2.588358534
836,2.442718038
837,2.369657702
838,2.351744794
839,2.290391067
840,2.235218153
841,2.19141429
842,2.168703937
843,2.140330668
844,2.15383106
845,2.173413391
846,2.271329825
847,2.376842398
848,2.579592829
849,2.722297345
850,2.81418105
851,2.851268024
852,2.913459777
853,2.966620998
854,2.958906192
855,2.958609825
856,2.978401377
857,2.93502628
858,2.883145648
859,2.7508139
860,2.524320777
861,2.163244205
862,1.970534001
863,1.7842678
864,1.67764745
865,1.68107531
866,1.70116962
867,1.705038078
868,1.734279198
869,1.780157909
870,1.827497002
871,1.861555197
872,1.867974814
873,1.982822994
874,2.170509882
875,2.353282727
876,2.59630935
877,2.942393354
878,3.157253983
879,3.157435801
880,3.082913057
881,2.873122906
882,2.648963729
883,2.455413205
884,2.326878354
885,2.261078885
886,2.247749871
887,2.191599893
888,2.138654314
889,2.096454026
890,2.075277004
891,2.048449266
892,2.063307338
893,2.08309972
894,2.178929832
895,2.279486492
896,2.473341293
897,2.604680494
898,2.687982787
899,2.718771572
900,2.773303618
901,2.819797297
902,2.809778117
903,2.810039219
904,2.831318712
905,2.789645518
906,2.740259814
907,2.612929747
908,2.397766032
909,2.062513708
910,1.88024734
911,1.704701317
912,1.649557142
913,1.696064781
914,1.719145852
915,1.710084372
916,1.716073058
917,1.738593743
918,1.755459942
919,1.75378216
920,1.804088623
921,1.895306093
922,2.052542358
923,2.250137625
924,2.46764665
925,2.735688974
926,2.888986078
927,2.834667856
928,2.78940483
929,2.683833904
930,2.617735641
931,2.532424881
932,2.468776795
933,2.421746321
934,2.430041817
935,2.414810741
936,2.383518463
937,2.364329997
938,2.343886027
939,2.347821073
940,2.401751894
941,2.45576835
942,2.562828602
943,2.658817481
944,2.809878182
945,2.878676667
946,2.921350667
947,2.91428116
948,2.893494492
949,2.859008078
950,2.792568167
