,Power
324,7.437700860998132
325,7.305619527442774
326,7.100529163138053
327,6.898746355728412
328,6.774767547375192
329,6.756129496252661
330,6.6528192176308005
331,6.156504748597998
332,5.518241569013606
333,4.627727999569769
334,3.794514222261494
335,3.4383230698312213
336,4.1540740728825325
337,3.983055524279942
338,4.0414052077483404
339,4.191172815079841
340,4.421635810469845
341,4.670871220131111
342,5.002363927667954
343,5.368958634322192
344,5.341708466093053
345,5.848764069599521
346,6.48597633207306
347,7.001789804627726
348,7.969130436338427
349,9.825713435717569
350,11.154475524816158
351,11.49187929127779
352,10.99471082311243
353,9.836919854026965
354,8.354770613565668
355,7.2313002952960455
356,6.299984642969331
357,5.904667157174305
358,5.655097389652739
359,5.371779580225507
360,5.250512458124398
361,5.163205947252055
362,5.079723845168027
363,4.995577529041077
364,4.921658772563805
365,4.910222536509708
366,5.023812179428516
367,5.293636532171173
368,5.777958479588227
369,6.396742324982464
370,6.863956730774358
371,7.2068611992535505
372,7.6238934205059765
373,7.986907292497247
374,8.112368808479848
375,8.082017437275276
376,8.001006594735696
377,7.908346613932267
378,7.77251037787149
379,7.500194215991863
380,6.883365393693924
381,5.477365888008767
382,4.908751949358621
383,4.325092621485119
384,4.143797612483727
385,3.973202134175834
386,4.031407470624669
387,4.180804578812729
388,4.41069744863349
389,4.659316293021138
390,4.989988944963945
391,5.355676759752689
392,5.3284940037241455
393,5.834295239412907
394,6.469931149017841
395,6.984468588302362
396,7.949416186687314
397,9.80140632100546
398,11.126881282636264
399,11.463450370566978
400,10.96751181115753
401,9.812585016575227
402,8.334102356850696
403,7.213411309733307
404,6.2843995711673735
405,5.8900600324229835
406,5.641107657318521
407,5.358490727124004
408,5.237523598897845
409,5.150433069225117
410,5.067157487415168
411,4.983219334712893
412,4.909483440447598
413,4.898075495662466
414,5.011384137461254
415,5.280540991448007
416,5.76366481017847
417,6.380917891419038
418,6.846976489621829
419,7.189032671785268
420,7.605033227489199
421,7.967149065980282
422,8.092300211883305
423,8.062023924718813
424,7.981213488984881
425,7.888782732939256
426,7.753282532220218
427,7.481640033401111
428,6.866337138867942
429,5.463815832653396
430,4.896608546489512
431,4.314393090791623
432,3.8677804317636832
433,3.7085482697587535
434,3.762876565296835
435,3.902322374588073
436,4.116902145717813
437,4.34896055957309
438,4.657607200193453
439,4.998936653618803
440,4.9735645332401734
441,5.445674492439237
442,6.0389708748421445
443,6.51923512159948
444,7.4199078348292
445,9.148537432895365
446,10.385722884217522
447,10.699873200901242
448,10.23696896791885
449,9.158971518731805
450,7.778970168579713
451,6.732928033453453
452,5.865797502638215
453,5.497724808443078
454,5.265355080257198
455,5.001563183423635
456,4.888653641212821
457,4.807364186958274
458,4.729635567974107
459,4.651288511756352
460,4.5824641444420005
461,4.571816079615277
462,4.677577265002022
463,4.928805657476785
464,5.379748736013052
465,5.955886765021915
466,6.39090133251755
467,6.710173249647346
468,7.098464126621428
469,7.436459532074661
470,7.553274395734589
471,7.525014803449334
472,7.44958712786199
473,7.36331315819478
474,7.236838587317532
475,6.983290118105936
476,6.408972374422451
477,5.099872613621859
478,4.570446843509618
479,4.027012593768616
480,3.6616567634848423
481,3.5109104806345037
482,3.5623434857688996
483,3.6943578800032792
484,3.8975021598107946
485,4.117193601868506
486,4.409391693019995
487,4.732530848347281
488,4.708510871560233
489,5.15546091324642
