,Heat
739,0.888110077522966
740,0.7737308120505759
741,0.725180008098485
742,0.6945291684804511
743,0.659733572748141
744,0.6448401858312309
745,0.634117661669217
746,0.6238648311787099
747,0.6135304254304941
748,0.604452114495442
749,0.6030475764353671
750,0.616998055942359
751,0.650136456651254
752,0.709618318101044
753,0.7856140790930921
754,0.842994882711162
755,0.8851085969324001
756,0.9363262899089959
757,0.980909734771023
758,0.9963182549728391
759,0.9925906599992209
760,0.9826413365428591
761,0.971261327502415
762,0.9545786390215029
763,0.9211342074861429
764,0.8453785520964999
765,0.6727011249395161
766,0.6028669666950129
767,0.531185013276217
768,0.48088461480826505
769,0.4610871370967621
770,0.46784182287428705
771,0.485179245582396
772,0.5118581412451261
773,0.540710172255823
774,0.579084486285565
775,0.621522283784405
776,0.618367745270546
777,0.677065600508689
778,0.7508306725835949
779,0.8105423577173809
780,0.9225238050645078
781,1.13744587550716
782,1.2912662538098
783,1.3303248448274498
784,1.2727715457976598
785,1.13874315477025
786,0.9671663475004101
787,0.837110989369851
788,0.7292998716871859
789,0.6835370630448249
790,0.654646326043807
791,0.6218488425939761
792,0.607810697804701
793,0.597703906949629
794,0.5880398379417779
795,0.578298878077246
796,0.56974188267658
797,0.568417999213444
798,0.581567382378709
799,0.612802834048087
800,0.668868992003048
801,0.740500750590229
802,0.7945865024618121
803,0.83428186666273
804,0.8825584201283342
805,0.924581692448429
806,0.939105389360914
807,0.935591848871611
808,0.92621385822281
809,0.9154873380897951
810,0.8997626411034079
811,0.868238732209633
812,0.7968332913317869
813,0.634071742344088
814,0.568247760858691
815,0.5006820925197679
816,0.474279984370304
817,0.45475441185156895
818,0.46141632651121706
819,0.47851563124630897
820,0.504828110016255
821,0.53328387756511
822,0.571131145907234
823,0.612986088474871
824,0.609874875450006
825,0.667766554675421
826,0.7405185125327329
827,0.799410097374282
828,0.909853554000016
829,1.12182381270961
830,1.27353157039344
831,1.31205371763402
832,1.2552908748984701
833,1.1231032747046001
834,0.9538829607989671
835,0.8256138265368341
836,0.7192834228705258
837,0.674149135976582
838,0.6456551940384461
839,0.6133081622163261
840,0.5994628220115861
841,0.5894948412087719
842,0.5799635017629791
843,0.5703563275052951
844,0.5619168567468
845,0.5606111559427629
846,0.573579941073448
847,0.604386394583006
848,0.659682521137572
849,0.730330465149446
850,0.7836733851813922
851,0.822823559948974
852,0.8704370670524358
853,0.911883177669034
854,0.9262074012614221
855,0.9227421169145401
856,0.9134929267317529
857,0.902913728220562
858,0.887404999491727
859,0.856314050525952
860,0.785889315900157
861,0.6253631885655351
862,0.560443255698618
863,0.49380555688903993
864,0.41949304516380104
865,0.402222989196067
866,0.4081153459458621
867,0.42323940694335704
868,0.446512372720455
869,0.471681043073245
870,0.505156345365515
871,0.5421763712815679
872,0.539424553222692
873,0.590628815701021
874,0.654976756472151
875,0.70706541944304
876,0.8047508868149291
877,0.9922351835185
878,1.12641826385712
879,1.16049048571919
880,1.11028466102493
881,0.993366847147869
882,0.843694191494696
883,0.730242197935265
884,0.636194659988462
885,0.596274106571949
886,0.57107167158364
887,0.542461240344195
888,0.530215258824384
889,0.521398739555374
890,0.512968422568849
891,0.504471030906568
892,0.497006454275209
893,0.495851582839752
894,0.507322265444604
895,0.534570079856547
896,0.583478617594937
897,0.645965591839592
898,0.693146549711639
899,0.727774251856297
900,0.769887635815095
901,0.8065460564225679
902,0.8192156026239659
903,0.816150614155263
904,0.8079698536700229
905,0.798612722133587
906,0.7848955001223821
907,0.757396054038859
908,0.6951065049189431
909,0.553123717951117
910,0.49570307776464595
911,0.436763101131534
912,0.427726442712967
913,0.4386211076928879
914,0.44692658289379605
915,0.45424288549895503
916,0.463219920004144
917,0.47414399014480396
918,0.48907735930635
919,0.50420773444736
920,0.531112162738912
921,0.5695773012208599
922,0.6174034361821129
923,0.682951448507719
924,0.769633723293082
925,0.9162400184002621
926,1.01728561784986
927,1.01652064504175
928,0.9829454735918051
929,0.92928442113502
930,0.8773437206895479
931,0.830106796263342
932,0.774062485034
933,0.7443087925034242
934,0.7321702941880229
935,0.7295190975694059
936,0.73119806668923
937,0.7374527632813149
938,0.728973289766754
939,0.740837064081347
940,0.75944997283056
941,0.78148615671583
942,0.8013362133831379
943,0.827248356611775
944,0.850241106089322
945,0.8742700715379008
946,0.8968953956631371
947,0.9080352966765021
948,0.901680851150688
949,0.8856684823438391
950,0.860805146522039
951,0.836342789547347
952,0.821312698995201
953,0.819053187068865
954,0.806528765651376
955,0.746360003659001
956,0.66898263963463
957,0.5610246767824371
958,0.46001323225749796
959,0.416831777733046
